法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
府省令,明治三十二年逓信省令第十九号,明治三十二年逓信省令第十九号（商法第七百九条ニ規定スル属具目録ノ書式ノ件）,しょうほうだいななひゃくきゅうじょうにきていするぞくぐもくろくのしょしきのけん,,明治三十二年五月二十六日,,昭和二十三年運輸省令第十号,昭和二十三年四月二十二日,昭和二十三年四月二十二日,,132M10001000019,https://laws.e-gov.go.jp/law/132M10001000019/19480422_323M40000800010,
府省令,明治三十二年逓信省令第二十四号,船舶法施行細則,せんぱくほうしこうさいそく,,明治三十二年六月十二日,船舶法施行細則の一部を改正する省令,令和七年国土交通省令第六十二号,令和七年六月二日,令和七年六月二日,,132M10001000024,https://laws.e-gov.go.jp/law/132M10001000024/20250602_507M60000800062,
府省令,明治三十二年逓信省令第三十五号,水難救護法施行細則,すいなんきゅうごほうしこうさいそく,,明治三十二年七月二十九日,,平成十二年運輸省令第十一号,平成十二年三月二十四日,平成十二年四月一日,,132M10001000035,https://laws.e-gov.go.jp/law/132M10001000035/20000401_412M50000800011,
法律,明治三十三年法律第六十五号,鉄道営業法,てつどうえいぎょうほう,,明治三十三年三月十六日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,133AC0000000065,https://laws.e-gov.go.jp/law/133AC0000000065/20250601_504AC0000000068,
法律,明治三十三年法律第三十三号,二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律,にじっさいみまんのもののきつえんのきんしにかんするほうりつ,未成年者喫煙禁止法,明治三十三年三月七日,民法の一部を改正する法律,平成三十年法律第五十九号,平成三十年六月二十日,令和四年四月一日,,133AC1000000033,https://laws.e-gov.go.jp/law/133AC1000000033/20220401_430AC0000000059,
法律,明治三十三年法律第七十二号,明治三十三年法律第七十二号（地上権ニ関スル法律）,ちじょうけんにかんするほうりつ,,明治三十三年三月二十七日,,,明治三十三年三月二十七日,明治三十三年三月二十七日,,133AC1000000072,https://laws.e-gov.go.jp/law/133AC1000000072/19000327_000000000000000,
勅令,明治三十三年勅令,窒息セシムヘキ瓦斯又ハ有毒質ノ瓦斯ヲ散布スルヲ唯一ノ目的トスル投射物ノ使用ヲ各自ニ禁止スル宣言書,ちっそくせしむへきがすまたはゆうどくしつのがすをさんぷするをゆいいつのもくてきとするとうしゃぶつのしようをかくじにきんしするせんげんしょ,,明治三十三年十一月二十二日,,,明治三十三年十一月二十二日,明治三十三年十一月二十二日,,133IO0000000001,https://laws.e-gov.go.jp/law/133IO0000000001/19001122_000000000000000,
勅令,明治三十三年勅令,外包硬固ナル弾丸ニシテ其ノ外包中心ノ全部ヲ蓋包セス若ハ其ノ外包ニ截刻ヲ施シタルモノノ如キ人体内ニ入テ容易ニ開展シ又ハ扁平ト為ルヘキ弾丸ノ使用ヲ各自ニ禁止スル宣言書,がいほうこうこなるだんがんにしてそのがいほうちゅうしんのぜんぶをがいほうせすもしくはそのがいほうにせつこくをほどこしたるもののごときじんたいないにいりてよういにかいてんしまたはへんぺいとなるへきだんがんのしようをかくじにきんしするせんげんしょ,,明治三十三年十一月二十二日,,,明治三十三年十一月二十二日,明治三十三年十一月二十二日,,133IO0000000002,https://laws.e-gov.go.jp/law/133IO0000000002/19001122_000000000000000,
勅令,明治三十三年勅令第三百二十九号,明治三十三年勅令第三百二十九号（救恤又ハ学芸技術奨励寄附金等ノ保管出納ニ関スル件）,きゅうじゅつもしくはがくげいぎじゅつしょうれいきふきんとうのほかんすいとうにかんするけん,,明治三十三年八月三日,,平成九年政令第二百七十二号,平成九年八月二十九日,平成九年八月二十九日,,133IO0000000329,https://laws.e-gov.go.jp/law/133IO0000000329/19970829_409CO0000000272,
勅令,明治三十三年勅令第四百九号,明治三十三年勅令第四百九号（相続人曠欠ノ場合ニ於テ国庫ニ帰属シタル財産ノ引渡ニ関スル件）,そうぞくにんこうけつのばあいにおいてこっこにきぞくしたるざいさんのひきわたしにかんするけん,,明治三十三年十二月七日,,,明治三十三年十二月七日,明治三十三年十二月七日,,133IO0000000409,https://laws.e-gov.go.jp/law/133IO0000000409/19001207_000000000000000,
府省令,明治三十三年司法省令第二十五号,明治三十三年司法省令第二十五号（外国ニ於テ婚姻ヲ為ストキノ証明書ニ関スル件）,がいこくにおいてこんいんをなすときのしょうめいしょにかんするけん,,明治三十三年七月十六日,,,明治三十三年七月十六日,明治三十三年七月十六日,,133M10000010025,https://laws.e-gov.go.jp/law/133M10000010025/19000716_000000000000000,
府省令,明治三十三年逓信省令第三十八号,伝染病患者鉄道乗車規程,でんせんびょうかんじゃてつどうじょうしゃきてい,,明治三十三年八月十日,,平成十一年運輸省令第十五号,平成十一年三月三十日,平成十一年四月一日,,133M10001000038,https://laws.e-gov.go.jp/law/133M10001000038/19990401_411M50000800015,
勅令,明治三十四年勅令,日西特別通商条約,にっせいとくべつつうしょうじょうやく,,明治三十四年四月八日,,,明治三十四年四月八日,明治三十四年四月八日,,134IO0000000001,https://laws.e-gov.go.jp/law/134IO0000000001/19010408_000000000000000,
法律,明治三十五年法律第十一号,明治三十五年法律第十一号（警察署内ノ留置場ニ拘禁又ハ留置セラルル者ノ費用ニ関スル法律）,けいさつしょないのりゅうちじょうにこうきんまたはりゅうちせらるるもののひようにかんするほうりつ,,明治三十五年二月二十七日,,平成十一年法律第百六十号,平成十一年十二月二十二日,平成十三年一月六日,,135AC0000000011,https://laws.e-gov.go.jp/law/135AC0000000011/20010106_411AC0000000160,
法律,明治三十五年法律第五十号,明治三十五年法律第五十号（年齢計算ニ関スル法律）,ねんれいけいさんにかんするほうりつ,,明治三十五年十二月二日,,,明治三十五年十二月二日,明治三十五年十二月二十二日,,135AC1000000050,https://laws.e-gov.go.jp/law/135AC1000000050/19021222_000000000000000,
府省令,明治三十五年逓信省令第十一号,明治三十五年逓信省令第十一号（船舶積量互認ノ件ニ関シ帝国政府ト瑞典及諾威国両政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとすうぇーでんおよびのるうぇーこくりょうせいふとのあいだにとりきめをなしたるじょうき,,明治三十五年三月二十七日,,,明治三十五年三月二十七日,明治三十五年四月一日,,135M10001000011,https://laws.e-gov.go.jp/law/135M10001000011/19020401_000000000000000,
法律,明治三十七年法律第十七号,明治三十七年法律第十七号（記名ノ国債ヲ目的トスル質権ノ設定ニ関スル法律）,きめいのこくさいをもくてきとするしちけんのせっていにかんするほうりつ,,明治三十七年四月一日,会社法の施行に伴う関係法律の整備等に関する法律　抄,平成十七年法律第八十七号,平成十七年七月二十六日,平成十八年五月一日,,137AC0000000017,https://laws.e-gov.go.jp/law/137AC0000000017/20060501_417AC0000000087,
法律,明治三十八年法律第五十二号,担保付社債信託法,たんぽつきしゃさいしんたくほう,,明治三十八年三月十三日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和七年十月一日,,138AC0000000052,https://laws.e-gov.go.jp/law/138AC0000000052/20251001_505AC0000000053,
法律,明治三十八年法律第五十二号,担保付社債信託法,たんぽつきしゃさいしんたくほう,,明治三十八年三月十三日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,138AC0000000052,https://laws.e-gov.go.jp/law/138AC0000000052/20280613_505AC0000000053,○
法律,明治三十八年法律第五十三号,鉄道抵当法,てつどうていとうほう,,明治三十八年三月十三日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和八年五月二十一日,,138AC0000000053,https://laws.e-gov.go.jp/law/138AC0000000053/20260521_505AC0000000053,
法律,明治三十八年法律第五十三号,鉄道抵当法,てつどうていとうほう,,明治三十八年三月十三日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,138AC0000000053,https://laws.e-gov.go.jp/law/138AC0000000053/20280613_505AC0000000053,○
法律,明治三十八年法律第五十四号,工場抵当法,こうじょうていとうほう,,明治三十八年三月十三日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,138AC0000000054,https://laws.e-gov.go.jp/law/138AC0000000054/20250601_504AC0000000068,
法律,明治三十八年法律第五十五号,鉱業抵当法,こうぎょうていとうほう,,明治三十八年三月十三日,,平成二十三年法律第八十四号,平成二十三年七月二十二日,平成二十四年一月二十一日,,138AC0000000055,https://laws.e-gov.go.jp/law/138AC0000000055/20120121_423AC0000000084,
法律,明治三十八年法律第六十三号,外国裁判所ノ嘱託ニ因ル共助法,がいこくさいばんしょのしょくたくによるきょうじょほう,,明治三十八年三月十三日,,昭和十三年法律第十七号,昭和十三年三月二十二日,昭和十三年三月二十二日,,138AC0000000063,https://laws.e-gov.go.jp/law/138AC0000000063/19380322_313AC0000000017,
