法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
府省令,平成十七年環境省令第二十八号,廃棄物海洋投入処分の許可等に関する省令,はいきぶつかいようとうにゅうしょぶんのきょかとうにかんするしょうれい,,平成十七年九月二十二日,環境省の所管する法律の規定に基づく立入検査等をする国の職員の携帯する身分を示す証明書の様式を定める省令,令和六年環境省令第十七号,令和六年四月一日,令和六年四月一日,,417M60001000028,https://laws.e-gov.go.jp/law/417M60001000028/20240401_506M60001000017,
府省令,平成十七年文部科学省・環境省令第一号,独立行政法人日本原子力研究開発機構法施行令附則第三十五条の規定により独立行政法人日本原子力研究開発機構及び独立行政法人理化学研究所が行うものとされる環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律第九条第一項の規定による環境報告書の作成及び公表の方法を定める省令,どくりつぎょうせいほうじんにほんげんしりょくけんきゅうかいはつきこうほうしこうれいふそくだいさんじゅうごじょうのきていによりどくりつぎょうせいほうじんにほんげんしりょくけんきゅうかいはつきこうおよびどくりつぎょうせいほうじんりかがくけんきゅうしょがおこなうものとされるかんきょうじょうほうのていきょうのそくしんとうによるとくていじぎょうしゃとうのかんきょうにはいりょしたじぎょうかつどうのそくしんにかんするほうりつだいきゅうじょうだいいっこうのきていによるかんきょうほうこくしょのさくせいおよびこうひょうのほうほうをさだめるしょうれい,,平成十七年九月九日,,,平成十七年九月九日,平成十七年十月一日,,417M60001080001,https://laws.e-gov.go.jp/law/417M60001080001/20051001_000000000000000,
府省令,平成十七年文部科学省・環境省令第二号,国立大学法人法の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令附則第二項の規定により新富山大学法人が行うものとされる環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律第九条第一項の規定による環境報告書の作成及び公表の方法を定める省令,こくりつだいがくほうじんほうのいちぶをかいせいするほうりつのしこうにともなうかんけいせいれいのせいびおよびけいかそちにかんするせいれいふそくだいにこうのきていによりしんとやまだいがくほうじんがおこなうものとされるかんきょうじょうほうのていきょうのそくしんとうによるとくていじぎょうしゃとうのかんきょうにはいりょしたじぎょうかつどうのそくしんにかんするほうりつだいきゅうじょうだいいっこうのきていによるかんきょうほうこくしょのさくせいおよびこうひょうのほうほうをさだめるしょうれい,,平成十七年九月三十日,,,平成十七年九月三十日,平成十七年十月一日,,417M60001080002,https://laws.e-gov.go.jp/law/417M60001080002/20051001_000000000000000,
府省令,平成十七年農林水産省・環境省令第二号,特定外来生物による生態系等に係る被害の防止に関する法律施行規則,とくていがいらいせいぶつによるせいたいけいとうにかかるひがいのぼうしにかんするほうりつしこうきそく,,平成十七年五月二十五日,特定外来生物による生態系等に係る被害の防止に関する法律施行規則の一部を改正する省令,令和七年農林水産省・環境省令第二号,令和七年八月二十九日,令和七年九月一日,,417M60001200002,https://laws.e-gov.go.jp/law/417M60001200002/20250901_507M60001200002,
府省令,平成十七年農林水産省・環境省令第三号,農用地の土壌の汚染防止等に関する法律第十三条第一項の規定による立入調査をする職員の携帯する身分を示す証明書の様式を定める省令,のうようちのどじょうのおせんぼうしとうにかんするほうりつだいじゅうさんじょうだいいっこうのきていによるたちいりちょうさをするしょくいんのけいたいするみぶんをしめすしょうめいしょのようしきをさだめるしょうれい,,平成十七年九月二十日,立入検査等の際に携帯する国の職員の身分を示す証明書の様式の見直しのための農林水産省・環境省関係省令の一部を改正する省令,令和六年農林水産省・環境省令第二号,令和六年四月一日,令和六年四月一日,,417M60001200003,https://laws.e-gov.go.jp/law/417M60001200003/20240401_506M60001200002,
府省令,平成十七年経済産業省・環境省令第三号,絶滅のおそれのある野生動植物の種の保存に関する法律第三十三条の十五第一項に規定する事業登録機関及び第三十三条の二十六第一項に規定する認定機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,ぜつめつのおそれのあるやせいどうしょくぶつのたねのほぞんにかんするほうりつだいさんじゅうさんじょうのじゅうごだいいっこうにきていするじぎょうとうろくきかんおよびだいさんじゅうさんじょうのにじゅうろくだいいっこうにきていするにんていきかんにかかるみんかんじぎょうしゃとうがおこなうしょめんのほぞんとうにおけるじょうほうつうしんのぎじゅつのりようにかんするしょうれい,絶滅のおそれのある野生動植物の種の保存に関する法律第三十三条の八第一項に規定する認定機関に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する省令,平成十七年三月二十九日,特定国際種事業に係る届出及び特別国際種事業に係る登録等に関する省令等の一部を改正する省令,令和六年経済産業省・環境省令第三号,令和六年三月二十二日,令和六年三月二十二日,,417M60001400003,https://laws.e-gov.go.jp/law/417M60001400003/20240322_506M60001400003,
府省令,平成十七年経済産業省・環境省令第四号,使用済自動車の再資源化等に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,しようずみじどうしゃのさいしげんかとうにかんするほうりつにかかるみんかんじぎょうしゃとうがおこなうしょめんのほぞんとうにおけるじょうほうつうしんのぎじゅつのりようにかんするほうりつせこうきそく,,平成十七年三月三十日,使用済自動車の再資源化等に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則の一部を改正する省令,令和六年経済産業省・環境省令第九号,令和六年六月二十八日,令和六年六月二十八日,,417M60001400004,https://laws.e-gov.go.jp/law/417M60001400004/20240628_506M60001400009,
府省令,平成十七年財務省・厚生労働省・農林水産省・経済産業省・環境省令第三号,遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,いでんしくみかえせいぶつとうのしようとうのきせいによるせいぶつのたようせいのかくほにかんするほうりつにかかるみんかんじぎょうしゃとうがおこなうしょめんのほぞんとうにおけるじょうほうつうしんのぎじゅつのりようにかんするほうりつしこうきそく,,平成十七年三月二十八日,遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則の一部を改正する省令,令和六年財務省・厚生労働省・農林水産省・経済産業省・環境省令第一号,令和六年三月十八日,令和六年三月十八日,,417M60001740003,https://laws.e-gov.go.jp/law/417M60001740003/20240318_506M60001740001,
府省令,平成十七年財務省・厚生労働省・農林水産省・経済産業省・環境省令第四号,容器包装に係る分別収集及び再商品化の促進等に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,ようきほうそうにかかるふんべつしゅうしゅうおよびさいしょうひんかのそくしんとうにかんするほうりつにかかるみんかんじぎょうしゃとうがおこなうしょめんのほぞんとうにおけるじょうほうつうしんのぎじゅつのりようにかんするほうりつしこうきそく,,平成十七年三月三十日,容器包装に係る分別収集及び再商品化の促進等に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則の一部を改正する省令,令和六年財務省・厚生労働省・農林水産省・経済産業省・環境省令第三号,令和六年三月二十九日,令和六年三月二十九日,,417M60001740004,https://laws.e-gov.go.jp/law/417M60001740004/20240329_506M60001740003,
府省令,平成十七年厚生労働省・農林水産省・経済産業省・国土交通省・環境省令第一号,環境影響評価法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,かんきょうえいきょうひょうかほうにかかるみんかんじぎょうしゃとうがおこなうしょめんのほぞんとうにおけるじょうほうつうしんのぎじゅつのりようにかんするほうりつしこうきそく,,平成十七年三月二十五日,,,平成十七年三月二十五日,平成十七年四月一日,,417M60001F00001,https://laws.e-gov.go.jp/law/417M60001F00001/20050401_000000000000000,
府省令,平成十七年内閣府・総務省・財務省・文部科学省・厚生労働省・農林水産省・経済産業省・国土交通省・環境省令第一号,環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律第九条第一項の規定による環境報告書の作成及び公表の方法を定める命令,かんきょうじょうほうのていきょうのそくしんとうによるとくていじぎょうしゃとうのかんきょうにはいりょしたじぎょうかつどうのそくしんにかんするほうりつだいきゅうじょうだいいっこうのきていによるかんきょうほうこくしょのさくせいおよびこうひょうのほうほうをさだめるめいれい,,平成十七年三月三十日,環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律第九条第一項の規定による環境報告書の作成及び公表の方法を定める命令の一部を改正する命令,令和二年内閣府・総務省・財務省・文部科学省・厚生労働省・農林水産省・経済産業省・国土交通省・環境省令第四号,令和二年九月三十日,令和二年九月三十日,,417M60001FCA001,https://laws.e-gov.go.jp/law/417M60001FCA001/20200930_502M60001FCA004,
規則,平成十七年公正取引委員会規則第五号,公正取引委員会の審査に関する規則,こうせいとりひきいいんかいのしんさにかんするきそく,,平成十七年十月十九日,公正取引委員会の審査に関する規則等の一部を改正する規則,令和八年公正取引委員会規則第二号,令和八年五月一日,令和八年五月二十一日,,417M60200000005,https://laws.e-gov.go.jp/law/417M60200000005/20260521_508M60200000002,
規則,平成十七年公正取引委員会規則第六号,公正取引委員会の犯則事件の調査に関する規則,こうせいとりひきいいんかいのはんそくじけんのちょうさにかんするきそく,,平成十七年十月十九日,公正取引委員会の犯則事件の調査に関する規則の一部を改正する規則,令和元年公正取引委員会規則第五号,令和元年十二月二十六日,令和二年一月一日,,417M60200000006,https://laws.e-gov.go.jp/law/417M60200000006/20200101_501M60200000005,
規則,平成十七年国家公安委員会規則第五号,国家公安委員会個人情報管理規則,こっかこうあんいいんかいこじんじょうほうかんりきそく,,平成十七年三月二十八日,国家公安委員会個人情報管理規則及び国家公安委員会審査請求手続規則の一部を改正する規則,令和四年国家公安委員会規則第十一号,令和四年三月三十一日,令和四年四月一日,,417M60400000005,https://laws.e-gov.go.jp/law/417M60400000005/20220401_504M60400000011,
規則,平成十七年国家公安委員会規則第七号,国家公安委員会の所管する法令の規定に基づく民間事業者等が行う書面の保存等における情報通信の技術の利用に関する規則,こっかこうあんいいんかいのしょかんするほうれいのきていにもとづくみんかんじぎょうしゃとうがおこなうしょめんのほぞんとうにおけるじょうほうつうしんのぎじゅつのりようにかんするきそく,,平成十七年三月二十八日,遊技機の認定及び型式の検定等に関する規則等の一部を改正する規則,令和五年国家公安委員会規則第十五号,令和五年十二月二十五日,令和五年十二月二十五日,,417M60400000007,https://laws.e-gov.go.jp/law/417M60400000007/20231225_505M60400000015,
規則,平成十七年国家公安委員会規則第十一号,携帯音声通信役務提供契約に係る契約者確認に関する規則,けいたいおんせいつうしんえきむていきょうけいやくにかかるけいやくしゃかくにんにかんするきそく,,平成十七年五月二日,地方警務官の懲戒の取扱に関する規程等の一部を改正する規則,令和元年国家公安委員会規則第三号,令和元年六月二十一日,令和元年七月一日,,417M60400000011,https://laws.e-gov.go.jp/law/417M60400000011/20190701_501M60400000003,
規則,平成十七年国家公安委員会規則第十五号,ＤＮＡ型記録取扱規則,でぃーえぬえーがたきろくとりあつかいきそく,,平成十七年八月二十六日,現場写真の作成及び現場写真記録の取扱に関する規則等の一部を改正する規則,令和七年国家公安委員会規則第四号,令和七年四月一日,令和七年四月一日,,417M60400000015,https://laws.e-gov.go.jp/law/417M60400000015/20250401_507M60400000004,
規則,平成十七年国家公安委員会規則第二十号,警備員等の検定等に関する規則,けいびいんとうのけんていとうにかんするきそく,,平成十七年十一月十八日,警備員指導教育責任者及び機械警備業務管理者に係る講習等に関する規則等の一部を改正する規則,令和六年国家公安委員会規則第九号,令和六年六月二十七日,令和六年六月二十七日,,417M60400000020,https://laws.e-gov.go.jp/law/417M60400000020/20240627_506M60400000009,
規則,平成十七年会計検査院規則第五号,会計検査院の保有する個人情報の保護に関する権限又は事務の委任に関する規則,かいけいけんさいんのほゆうするこじんじょうほうのほごにかんするけんげんまたはじむのいにんにかんするきそく,,平成十七年四月一日,会計検査院の保有する個人情報の保護に関する権限又は事務の委任に関する規則の一部を改正する規則,令和五年会計検査院規則第三号,令和五年三月三十一日,令和五年四月一日,,417R00000001005,https://laws.e-gov.go.jp/law/417R00000001005/20230401_505R00000001003,
規則,平成十七年日本学術会議規則第一号,日本学術会議事務局組織規則,にほんがくじゅつかいぎじむきょくそしききそく,,平成十七年五月二十三日,,平成二十六年日本学術会議規則第一号,平成二十六年八月一日,平成二十六年八月一日,,417R00000003001,https://laws.e-gov.go.jp/law/417R00000003001/20140801_426R00000003001,
規則,平成十七年日本学術会議規則第三号,日本学術会議会則,にほんがくじゅつかいぎかいそく,,平成十七年十月二十四日,日本学術会議会則の一部を改正する規則,令和五年日本学術会議規則第一号,令和五年五月一日,令和五年五月一日,,417R00000003003,https://laws.e-gov.go.jp/law/417R00000003003/20230501_505R00000003001,
法律,平成十八年法律第四号,石綿による健康被害の救済に関する法律,いしわたによるけんこうひがいのきゅうさいにかんするほうりつ,,平成十八年二月十日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和七年十二月十二日,,418AC0000000004,https://laws.e-gov.go.jp/law/418AC0000000004/20251212_507AC0000000087,
法律,平成十八年法律第四号,石綿による健康被害の救済に関する法律,いしわたによるけんこうひがいのきゅうさいにかんするほうりつ,,平成十八年二月十日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和八年十月一日,,418AC0000000004,https://laws.e-gov.go.jp/law/418AC0000000004/20261001_507AC0000000087,○
法律,平成十八年法律第四号,石綿による健康被害の救済に関する法律,いしわたによるけんこうひがいのきゅうさいにかんするほうりつ,,平成十八年二月十日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和九年四月一日,,418AC0000000004,https://laws.e-gov.go.jp/law/418AC0000000004/20270401_507AC0000000087,○
法律,平成十八年法律第四号,石綿による健康被害の救済に関する法律,いしわたによるけんこうひがいのきゅうさいにかんするほうりつ,,平成十八年二月十日,医療法等の一部を改正する法律,令和七年法律第八十七号,令和七年十二月十二日,令和九年十二月十一日,公布の日から起算して二年を超えない範囲内において政令で定める日,418AC0000000004,https://laws.e-gov.go.jp/law/418AC0000000004/20271211_507AC0000000087,○
法律,平成十八年法律第十一号,平成十八年度における財政運営のための公債の発行の特例等に関する法律,へいせいじゅうはちねんどにおけるざいせいうんえいのためのこうさいのはっこうのとくれいとうにかんするほうりつ,,平成十八年三月三十一日,特別会計に関する法律,平成十九年法律第二十三号,平成十九年三月三十一日,平成十九年四月一日,,418AC0000000011,https://laws.e-gov.go.jp/law/418AC0000000011/20070401_419AC0000000023,
法律,平成十八年法律第二十二号,独立行政法人消防研究所の解散に関する法律,どくりつぎょうせいほうじんしょうぼうけんきゅうじょのかいさんにかんするほうりつ,,平成十八年三月三十一日,,,平成十八年三月三十一日,平成十八年四月一日,,418AC0000000022,https://laws.e-gov.go.jp/law/418AC0000000022/20060401_000000000000000,
法律,平成十八年法律第四十七号,簡素で効率的な政府を実現するための行政改革の推進に関する法律,かんそでこうりつてきなせいふをじつげんするためのぎょうせいかいかくのすいしんにかんするほうりつ,,平成十八年六月二日,沖縄振興特別措置法等の一部を改正する法律,令和四年法律第七号,令和四年三月三十一日,令和四年四月一日,,418AC0000000047,https://laws.e-gov.go.jp/law/418AC0000000047/20220401_504AC0000000007,
法律,平成十八年法律第四十八号,一般社団法人及び一般財団法人に関する法律,いっぱんしゃだんほうじんおよびいっぱんざいだんほうじんにかんするほうりつ,,平成十八年六月二日,民事訴訟法等の一部を改正する法律,令和四年法律第四十八号,令和四年五月二十五日,令和八年五月二十一日,,418AC0000000048,https://laws.e-gov.go.jp/law/418AC0000000048/20260521_504AC0000000048,
法律,平成十八年法律第四十八号,一般社団法人及び一般財団法人に関する法律,いっぱんしゃだんほうじんおよびいっぱんざいだんほうじんにかんするほうりつ,,平成十八年六月二日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,418AC0000000048,https://laws.e-gov.go.jp/law/418AC0000000048/20280613_505AC0000000053,○
法律,平成十八年法律第四十九号,公益社団法人及び公益財団法人の認定等に関する法律,こうえきしゃだんほうじんおよびこうえきざいだんほうじんのにんていとうにかんするほうりつ,,平成十八年六月二日,公益信託に関する法律,令和六年法律第三十号,令和六年五月二十二日,令和八年四月一日,,418AC0000000049,https://laws.e-gov.go.jp/law/418AC0000000049/20260401_506AC0000000030,
法律,平成十八年法律第五十号,一般社団法人及び一般財団法人に関する法律及び公益社団法人及び公益財団法人の認定等に関する法律の施行に伴う関係法律の整備等に関する法律,いっぱんしゃだんほうじんおよびいっぱんざいだんほうじんにかんするほうりつおよびこうえきしゃだんほうじんおよびこうえきざいだんほうじんのにんていとうにかんするほうりつのしこうにともなうかんけいほうりつのせいびとうにかんするほうりつ,,平成十八年六月二日,公益信託に関する法律,令和六年法律第三十号,令和六年五月二十二日,令和八年四月一日,,418AC0000000050,https://laws.e-gov.go.jp/law/418AC0000000050/20260401_506AC0000000030,
法律,平成十八年法律第五十一号,競争の導入による公共サービスの改革に関する法律,きょうそうのどうにゅうによるこうきょうさーびすのかいかくにかんするほうりつ,,平成十八年六月二日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,418AC0000000051,https://laws.e-gov.go.jp/law/418AC0000000051/20250601_504AC0000000068,
法律,平成十八年法律第六十一号,住生活基本法,じゅうせいかつきほんほう,,平成十八年六月八日,,平成二十三年法律第百五号,平成二十三年八月三十日,平成二十三年八月三十日,,418AC0000000061,https://laws.e-gov.go.jp/law/418AC0000000061/20110830_423AC0000000105,
法律,平成十八年法律第七十号,国家公務員の留学費用の償還に関する法律,こっかこうむいんのりゅうがくひようのしょうかんにかんするほうりつ,,平成十八年六月十四日,国家公務員法等の一部を改正する法律,令和三年法律第六十一号,令和三年六月十一日,令和五年四月一日,,418AC0000000070,https://laws.e-gov.go.jp/law/418AC0000000070/20230401_503AC0000000061,
法律,平成十八年法律第七十三号,遺失物法,いしつぶつほう,,平成十八年六月十五日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,418AC0000000073,https://laws.e-gov.go.jp/law/418AC0000000073/20250601_504AC0000000068,
法律,平成十八年法律第七十七号,就学前の子どもに関する教育、保育等の総合的な提供の推進に関する法律,しゅうがくまえのこどもにかんするきょういくほいくとうのそうごうてきなていきょうのすいしんにかんするほうりつ,,平成十八年六月十五日,公立の義務教育諸学校等の教育職員の給与等に関する特別措置法等の一部を改正する法律,令和七年法律第六十八号,令和七年六月十八日,令和八年四月一日,,418AC0000000077,https://laws.e-gov.go.jp/law/418AC0000000077/20260401_507AC0000000068,
法律,平成十八年法律第七十七号,就学前の子どもに関する教育、保育等の総合的な提供の推進に関する法律,しゅうがくまえのこどもにかんするきょういくほいくとうのそうごうてきなていきょうのすいしんにかんするほうりつ,,平成十八年六月十五日,学校設置者等及び民間教育保育等事業者による児童対象性暴力等の防止等のための措置に関する法律,令和六年法律第六十九号,令和六年六月二十六日,令和八年十二月二十五日,,418AC0000000077,https://laws.e-gov.go.jp/law/418AC0000000077/20261225_506AC0000000069,○
法律,平成十八年法律第七十七号,就学前の子どもに関する教育、保育等の総合的な提供の推進に関する法律,しゅうがくまえのこどもにかんするきょういくほいくとうのそうごうてきなていきょうのすいしんにかんするほうりつ,,平成十八年六月十五日,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律,令和六年法律第五十三号,令和六年六月十九日,令和九年四月一日,,418AC0000000077,https://laws.e-gov.go.jp/law/418AC0000000077/20270401_506AC0000000053,○
法律,平成十八年法律第七十八号,法の適用に関する通則法,ほうのてきようにかんするつうそくほう,,平成十八年六月二十一日,,,平成十八年六月二十一日,平成十九年一月一日,,418AC0000000078,https://laws.e-gov.go.jp/law/418AC0000000078/20070101_000000000000000,
法律,平成十八年法律第八十七号,犯罪被害財産等による被害回復給付金の支給に関する法律,はんざいひがいざいさんとうによるひがいかいふくきゅうふきんのしきゅうにかんするほうりつ,,平成十八年六月二十一日,情報通信技術の進展等に対応するための刑事訴訟法等の一部を改正する法律,令和七年法律第三十九号,令和七年五月二十三日,令和八年五月二十一日,,418AC0000000087,https://laws.e-gov.go.jp/law/418AC0000000087/20260521_507AC0000000039,
法律,平成十八年法律第八十七号,犯罪被害財産等による被害回復給付金の支給に関する法律,はんざいひがいざいさんとうによるひがいかいふくきゅうふきんのしきゅうにかんするほうりつ,,平成十八年六月二十一日,情報通信技術の進展等に対応するための刑事訴訟法等の一部を改正する法律,令和七年法律第三十九号,令和七年五月二十三日,令和九年三月三十一日,令和九年三月三十一日までの間において政令で定める日,418AC0000000087,https://laws.e-gov.go.jp/law/418AC0000000087/20270331_507AC0000000039,○
法律,平成十八年法律第八十八号,農業の担い手に対する経営安定のための交付金の交付に関する法律,のうぎょうのにないてにたいするけいえいあんていのためのこうふきんのこうふにかんするほうりつ,,平成十八年六月二十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,418AC0000000088,https://laws.e-gov.go.jp/law/418AC0000000088/20250601_504AC0000000068,
法律,平成十八年法律第九十一号,高齢者、障害者等の移動等の円滑化の促進に関する法律,こうれいしゃしょうがいしゃとうのいどうとうのえんかつかのそくしんにかんするほうりつ,,平成十八年六月二十一日,海上運送法等の一部を改正する法律,令和五年法律第二十四号,令和五年五月十二日,令和七年四月一日,,418AC0000000091,https://laws.e-gov.go.jp/law/418AC0000000091/20250401_505AC0000000024,
法律,平成十八年法律第九十一号,高齢者、障害者等の移動等の円滑化の促進に関する法律,こうれいしゃしょうがいしゃとうのいどうとうのえんかつかのそくしんにかんするほうりつ,,平成十八年六月二十一日,都市再生特別措置法等の一部を改正する法律,令和八年法律第二十三号,令和八年五月二十七日,令和九年五月二十六日,公布の日から起算して一年を超えない範囲内において政令で定める日,418AC0000000091,https://laws.e-gov.go.jp/law/418AC0000000091/20270526_508AC0000000023,○
法律,平成十八年法律第百八号,信託法,しんたくほう,,平成十八年十二月十五日,公益信託に関する法律,令和六年法律第三十号,令和六年五月二十二日,令和八年四月一日,,418AC0000000108,https://laws.e-gov.go.jp/law/418AC0000000108/20260401_506AC0000000030,
法律,平成十八年法律第百八号,信託法,しんたくほう,,平成十八年十二月十五日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和十年六月十三日,公布の日から起算して五年を超えない範囲内において政令で定める日,418AC0000000108,https://laws.e-gov.go.jp/law/418AC0000000108/20280613_505AC0000000053,○
法律,平成十八年法律第百十六号,道州制特別区域における広域行政の推進に関する法律,どうしゅうせいとくべつくいきにおけるこういきぎょうせいのすいしんにかんするほうりつ,,平成十八年十二月二十日,鳥獣の保護及び管理並びに狩猟の適正化に関する法律の一部を改正する法律,令和七年法律第二十八号,令和七年四月二十五日,令和七年九月一日,,418AC0000000116,https://laws.e-gov.go.jp/law/418AC0000000116/20250901_507AC0000000028,
法律,平成十八年法律第百二十号,教育基本法,きょういくきほんほう,,平成十八年十二月二十二日,,,平成十八年十二月二十二日,平成十八年十二月二十二日,,418AC0000000120,https://laws.e-gov.go.jp/law/418AC0000000120/20061222_000000000000000,
法律,平成十八年法律第八十五号,自殺対策基本法,じさつたいさくきほんほう,,平成十八年六月二十一日,自殺対策基本法の一部を改正する法律,令和七年法律第六十四号,令和七年六月十一日,令和八年四月一日,,418AC0100000085,https://laws.e-gov.go.jp/law/418AC0100000085/20260401_507AC0100000064,
法律,平成十八年法律第百三号,ドミニカ移住者に対する特別一時金の支給等に関する法律,どみにかいじゅうしゃにたいするとくべついちじきんのしきゅうとうにかんするほうりつ,,平成十八年十一月二十二日,,,平成十八年十一月二十二日,平成十九年二月十六日,,418AC0100000103,https://laws.e-gov.go.jp/law/418AC0100000103/20070216_000000000000000,
法律,平成十八年法律第百十二号,有機農業の推進に関する法律,ゆうきのうぎょうのすいしんにかんするほうりつ,,平成十八年十二月十五日,,平成二十三年法律第百五号,平成二十三年八月三十日,平成二十三年八月三十日,,418AC0100000112,https://laws.e-gov.go.jp/law/418AC0100000112/20110830_423AC0000000105,
法律,平成十八年法律第六号,平成十七年度の水田農業構造改革交付金等についての所得税及び法人税の臨時特例に関する法律,へいせいじゅうななねんどのすいでんのうぎょうこうぞうかいかくこうふきんとうについてのしょとくぜいおよびほうじんぜいのりんじとくれいにかんするほうりつ,,平成十八年二月十六日,,,平成十八年二月十六日,平成十八年二月十六日,,418AC1000000006,https://laws.e-gov.go.jp/law/418AC1000000006/20060216_000000000000000,
法律,平成十八年法律第六十号,探偵業の業務の適正化に関する法律,たんていぎょうのぎょうむのてきせいかにかんするほうりつ,,平成十八年六月八日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,418AC1000000060,https://laws.e-gov.go.jp/law/418AC1000000060/20250601_504AC0000000068,
法律,平成十八年法律第九十六号,拉致問題その他北朝鮮当局による人権侵害問題への対処に関する法律,らちもんだいそのほかきたちょうせんとうきょくによるじんけんしんがいもんだいへのたいしょにかんするほうりつ,,平成十八年六月二十三日,,平成十九年法律第百六号,平成十九年七月六日,平成十九年七月六日,,418AC1000000096,https://laws.e-gov.go.jp/law/418AC1000000096/20070706_419AC0000000106,
法律,平成十八年法律第九十七号,海外の文化遺産の保護に係る国際的な協力の推進に関する法律,かいがいのぶんかいさんのほごにかかるこくさいてきなきょうりょくのすいしんにかんするほうりつ,,平成十八年六月二十三日,文化芸術振興基本法の一部を改正する法律,平成二十九年法律第七十三号,平成二十九年六月二十三日,平成二十九年六月二十三日,,418AC1000000097,https://laws.e-gov.go.jp/law/418AC1000000097/20170623_429AC1000000073,
法律,平成十八年法律第九十八号,がん対策基本法,がんたいさくきほんほう,,平成十八年六月二十三日,がん対策基本法の一部を改正する法律,平成二十八年法律第百七号,平成二十八年十二月十六日,平成二十八年十二月十六日,,418AC1000000098,https://laws.e-gov.go.jp/law/418AC1000000098/20161216_428AC0100000107,
法律,平成十八年法律第百十七号,観光立国推進基本法,かんこうりっこくすいしんきほんほう,,平成十八年十二月二十日,,,平成十八年十二月二十日,平成十九年一月一日,,418AC1000000117,https://laws.e-gov.go.jp/law/418AC1000000117/20070101_000000000000000,
政令,平成十八年政令第二号,労働安全衛生法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令,ろうどうあんぜんえいせいほうとうのいちぶをかいせいするほうりつのしこうにともなうかんけいせいれいのせいびおよびけいかそちにかんするせいれい,,平成十八年一月五日,,,平成十八年一月五日,平成十八年四月一日,,418CO0000000002,https://laws.e-gov.go.jp/law/418CO0000000002/20060401_000000000000000,
政令,平成十八年政令第十号,障害者の日常生活及び社会生活を総合的に支援するための法律施行令,しょうがいしゃのにちじょうせいかつおよびしゃかいせいかつをそうごうてきにしえんするためのほうりつしこうれい,,平成十八年一月二十五日,地方税法施行令等の一部を改正する政令,令和八年政令第八十三号,令和八年三月三十一日,令和八年四月一日,,418CO0000000010,https://laws.e-gov.go.jp/law/418CO0000000010/20260401_508CO0000000083,
政令,平成十八年政令第十号,障害者の日常生活及び社会生活を総合的に支援するための法律施行令,しょうがいしゃのにちじょうせいかつおよびしゃかいせいかつをそうごうてきにしえんするためのほうりつしこうれい,,平成十八年一月二十五日,児童福祉法施行令等の一部を改正する政令,令和八年政令第百九十二号,令和八年六月三日,令和八年七月一日,,418CO0000000010,https://laws.e-gov.go.jp/law/418CO0000000010/20260701_508CO0000000192,○
